id,product_id,content,customer_id,rating
20227442,279218500,Great,11471633,5
20227443,279218500,Great,11471633,5
20227444,279218500,Great,11471633,5
20227445,279218500,Great,11471633,5
20211361,279112904,"Hay. Mê truyện từ còn bé, không thể từ bỏ được",29833486,5
20208235,279112904,good,26751241,5
20232675,278997061,oke,7051146,5
20227442,279218500,Great,11471633,5
20227443,279218500,Great,11471633,5
20227444,279218500,Great,11471633,5
20227445,279218500,Great,11471633,5
20211361,279112904,"Hay. Mê truyện từ còn bé, không thể từ bỏ được",29833486,5
20208235,279112904,good,26751241,5
20232675,278997061,oke,7051146,5
20179705,278967562,Truyện in đẹp tuyệt. Shop giao nhanh,12589210,5
20199996,278967562,"Bị cấn ngay góc. Vì không có ý định mua bán lại nên lỗi này ko thành vấn đề, nhờ tiki lưu ý thêm nhé. Cảm ơn",2124125,5
20183308,278967562,"Sách cong vẹo như ảnh, chất lượng sản phẩm ko ok",9665743,2
20215183,278967562,"new seal, không defect. shipper tiki vận chuyển đúng giờ, nhiệt tình, chịu khó",17720804,5
20227972,278967562,Kì này Tiki không có postcard tặng kèm cho đợt đầu,376610,5
20180316,278967562,"Sách bọc cẩn thận, quà kẹp trong seal của nxb, bìa không xước xát gì. Giao hàng đúng hẹn.",11026279,5
20184525,278967562,Giao hơi trễ nhưng giá rẻ hơn nhiều nhà bán khác. 5 sao :-)),393,5
20182988,278967562,Không có ý kiến,16695306,5
20194511,278856619,"[Cô bé hàng xóm và bốn viên kẹo]
""Các bạn cũng biết đó, cuộc đời chúng ta có vô số ngày chủ nhật..."" 
Là câu chuyện nối tiếp Tôi thấy hoa vàng trên cỏ xanh, Thiều và Tường lên thành phố sống, tìm được Mận, 3 đứa lại về sống chung một nhà. Tình tiết cứ thế mở ra, bạn bè cứ thế nhiều thêm, tình thân cứ thế thắt chặt thêm. Một câu chuyện dành cho tuổi mới lớn, ấm áp và đầy cảm xúc.
Vẫn là giọng văn dí dỏm thân thuộc của nhà văn Nguyễn Nhật Ánh, vẫn là cách kể chuyện mộc mạc nhưng luôn mở ra tình tiết bất ngờ, trí sáng tạo cứ thế tuôn trào.
#cobehangxomvabonvienkeo",10529571,5
20195266,278856619,"sản phẩm tuyệt vời 👍👍
cảm ơn shop 👍👍
lần sau mình sẽ mua tiếp nếu có dịp 👍👍",7007108,5
20198471,278856619,"ko kèm quà tặng là bookmart như trên sản phẩm mô tả, cuốn này có seal nên ổn hơn hai cuốn kia",151166,4
20194242,278856619,"Nhận hàng sớm, bên NXB đóng gói kỹ.
Đọc vài trang thấy cũng khá thú vị.",13703618,5
20202323,278856619,"Hay lắm mn ơi
Truyện của chú Ánh thì cứ ra tập mới mình lại mua
Làm mình nhớ q5 nhớ sg ghê huhu",14458093,5
20198392,278856619,Sách đẹp. Giá tốt,10817407,5
20198391,278856619,"Sách đẹp, giá tốt",10817407,5
20203229,278856619,Hàng giao nhanh đóng gói kỹ shipper nhiệt tình,29451037,5
20196153,278856619,Sách rất tốt thiết kế đẹp giao hàng nhanh chóng,13207355,5
20211697,278856619,"Câu chuyện nhẹ nhàng, dễ thương",8953,5
20200897,278856619,Good!,14182592,5
20195498,278856619,Bị móp méo ở phần mép của bản bìa cứng,30190132,4
20197891,278856619,Mỗi khi nhà văn ra sách là phải mua ngay,30404733,5
20212112,278856619,Shop đóng gói cẩn thận và giao nhanh. Đã ủng hộ shop n lần.,29516225,5
20236967,278856619,K hay khá nhạt đủ ký tự cccccccc,30085625,1
20195499,278856619,Bản bìa mềm không có vấn đề gì,30190132,5
20199584,278856619,Truyện hay,624634,5
20196412,278856619,Sách hay,10845358,5
20194724,278856619,Sách thật .ship nhanh,29451871,5
20227235,278790552,Sản phẩm đóng gói cẩn thận đúng mô tả giá rẻ sẽ quay lại ủng hộ shop,30049119,5
15376306,278790552,"Truyện mới , không gì để chê ạ",17854327,5
12948809,278790552,Lần sau đóng gói thêm 1 miếng nilong ngoài được không ạ =((( để không vậy xót quá,13070637,5
3879621,278790552,"Đồ chơi Hoàng Long

Chuyên cung cấp Đồ chơi trẻ em, búp bê, mô hình

    Địa chỉ: 167 Phan Đình Phùng, Thanh Bình, Biên Hòa, Đồng Nai
    Điện thoại: ***
    Website: dochoihoanglong.com
    Email: ***",15783581,5
